,Row.names,class,confidentNormal,pred,label,freq_cancer,freq_non_cancer
0,GSM4555887@120703409044406,normal,,0,0,,
1,GSM4555887@120703423540507,normal,,0,0,,
2,GSM4555887@120703423833901,normal,,0,0,,
3,GSM4555887@120703424085275,normal,,0,0,,
4,GSM4555887@120703436844444,normal,,0,0,,
5,GSM4555887@120703454964083,normal,,0,0,,
6,GSM4555887@120703455509347,normal,,0,0,,
7,GSM4555887@120726912190189,normal,,0,0,,
8,GSM4555887@120726943033251,normal,,0,0,,
9,GSM4555887@120772933634924,normal,,0,0,,
10,GSM4555887@120772934134628,normal,,0,0,,
11,GSM4555887@120772934384422,normal,,0,0,,
12,GSM4555887@120772948323101,normal,,0,0,,
13,GSM4555887@120772961197294,tumor,,1,1,,
14,GSM4555887@120772979713955,normal,,0,0,,
15,GSM4555887@120772979971822,normal,,0,0,,
16,GSM4555887@120786772744118,normal,,0,0,,
17,GSM4555887@120786772945692,normal,,0,0,,
18,GSM4555887@120786785290598,filtered,,2,0,,
19,GSM4555887@120797898399076,normal,,0,0,,
20,GSM4555887@120797898426228,normal,,0,0,,
21,GSM4555887@120797898861797,normal,,0,0,,
22,GSM4555887@120797898951004,normal,,0,0,,
23,GSM4555887@120797912844212,filtered,,2,0,,
24,GSM4555887@120797925435700,normal,,0,0,,
25,GSM4555887@120797926221547,normal,,0,0,,
26,GSM4555887@120797944236395,normal,,0,0,,
27,GSM4555887@120864470657269,normal,,0,0,,
28,GSM4555887@120864485590771,tumor,,1,1,,
29,GSM4555887@120864497428404,normal,,0,0,,
30,GSM4555887@120864497907444,normal,,0,0,,
31,GSM4555887@120864497945956,normal,,0,0,,
32,GSM4555887@120864516200308,normal,,0,0,,
33,GSM4555887@120864516983134,normal,,0,0,,
34,GSM4555887@120864516986597,normal,,0,0,,
35,GSM4555887@120864517016811,filtered,,2,1,,
36,GSM4555887@121202296408925,tumor,,1,1,,
37,GSM4555887@121202296670517,normal,,0,0,,
38,GSM4555887@121202296671068,normal,,0,0,,
39,GSM4555887@121202311382765,normal,,0,0,,
40,GSM4555887@121202323680501,normal,,0,0,,
41,GSM4555887@121202324203251,normal,,0,0,,
42,GSM4555887@121202343046502,normal,,0,0,,
43,GSM4555887@121276787215653,normal,,0,0,,
44,GSM4555887@121276787448565,normal,,0,0,,
45,GSM4555887@121276802394029,normal,,0,0,,
46,GSM4555887@121276814187805,filtered,,2,0,,
47,GSM4555887@121276815076148,normal,,0,0,,
48,GSM4555887@121276833086365,normal,,0,0,,
49,GSM4555887@121276833118054,normal,,0,0,,
50,GSM4555887@121276833156531,normal,,0,0,,
51,GSM4555887@121276833323763,normal,,0,0,,
52,GSM4555887@121319736588710,normal,,0,0,,
53,GSM4555887@121319737145700,normal,,0,0,,
54,GSM4555887@121319751563997,filtered,,2,0,,
55,GSM4555887@121319751896349,normal,,0,0,,
56,GSM4555887@121319752064293,normal,,0,0,,
57,GSM4555887@121319764211611,normal,,0,0,,
58,GSM4555887@121319782795612,normal,,0,0,,
59,GSM4555887@121319783545708,normal,yes,0,0,,
60,GSM4555887@121319783610614,normal,,0,0,,
61,GSM4555887@121337990990702,normal,,0,0,,
62,GSM4555887@121338004945699,normal,,0,0,,
63,GSM4555887@121338005244134,normal,,0,0,,
64,GSM4555887@121338005502324,normal,,0,0,,
65,GSM4555887@121338005675444,normal,,0,0,,
66,GSM4555887@121338005707165,normal,,0,0,,
67,GSM4555887@121338036440499,tumor,,1,1,,
68,GSM4555887@121338036935013,normal,,0,0,,
69,GSM4555887@121338036971230,normal,,0,0,,
70,GSM4555887@121339869260011,filtered,,2,0,,
71,GSM4555887@121339869619939,normal,,0,0,,
72,GSM4555887@121339896813925,filtered,,2,0,,
73,GSM4555887@121339915393910,normal,,0,0,,
74,GSM4555887@121339915688686,normal,,0,0,,
75,GSM4555887@121339915921782,normal,,0,0,,
76,GSM4555887@121339916179757,normal,,0,0,,
77,GSM4555887@121742656658859,normal,,0,0,,
78,GSM4555887@121742671596389,normal,,0,0,,
79,GSM4555887@121742671891694,filtered,,2,0,,
80,GSM4555887@121742684436780,normal,,0,0,,
81,GSM4555887@121742684763996,normal,,0,0,,
82,GSM4555887@121742703351645,normal,,0,0,,
83,GSM4555887@121812450396069,normal,,0,0,,
84,GSM4555887@121812465343781,normal,,0,0,,
85,GSM4555887@121812496575205,normal,,0,0,,
86,GSM4555887@121826140384036,normal,,0,0,,
87,GSM4555887@121826140670261,normal,,0,0,,
88,GSM4555887@121826140875035,normal,,0,0,,
89,GSM4555887@121826140927859,normal,,0,0,,
90,GSM4555887@121826154858725,normal,,0,0,,
91,GSM4555887@121826155314014,normal,,0,0,,
92,GSM4555887@121826167379821,normal,,0,0,,
93,GSM4555887@121826167679773,normal,,0,0,,
94,GSM4555887@121826168224667,tumor,,1,1,,
95,GSM4555887@121826186488612,normal,,0,0,,
96,GSM4555887@121826186746205,normal,,0,0,,
97,GSM4555887@121826186847981,normal,,0,0,,
98,GSM4555887@121826187040686,normal,,0,0,,
99,GSM4555887@121879156177260,tumor,,1,1,,
100,GSM4555887@121879203015477,normal,,0,0,,
101,GSM4555887@121896067591028,normal,,0,0,,
102,GSM4555887@121896082238180,tumor,,1,1,,
103,GSM4555887@121896082533796,normal,,0,0,,
104,GSM4555887@121896082554220,normal,,0,0,,
105,GSM4555887@121896095107822,normal,,0,0,,
106,GSM4555887@121896095402725,filtered,,2,0,,
107,GSM4555887@121896113761587,normal,,0,0,,
108,GSM4555887@121955392341868,normal,,0,0,,
109,GSM4555887@121955438152052,normal,,0,0,,
110,GSM4555887@121965726513517,normal,,0,0,,
111,GSM4555887@121965726521702,normal,,0,0,,
112,GSM4555887@121965726775149,tumor,,1,1,,
113,GSM4555887@121965726854372,normal,,0,0,,
114,GSM4555887@121965754640094,normal,,0,0,,
115,GSM4555887@121965773479348,normal,,0,0,,
116,GSM4555887@121965773547757,normal,,0,0,,
117,GSM4555887@122282749389659,tumor,,1,1,,
118,GSM4555887@122282749421796,normal,,0,0,,
119,GSM4555887@122282763738027,normal,,0,0,,
